year,month,session,talk_title,speaker,words
2003,4,Sunday Afternoon Session,The Golden Years,Boyd K. Packer,2099
2003,4,Sunday Morning Session,Care for the Life of the Soul,Neal A. Maxwell,1505
2003,4,Sunday Morning Session,Dear Are the Sheep That Have Wandered,James E. Faust,2094
2003,4,Sunday Morning Session,Did I Tell You … ?,Susan W. Tanner,1401
2003,4,Sunday Morning Session,"Holy Place, Sacred Space",Dennis B. Neuenschwander,1303
2003,4,Sunday Morning Session,The Sustaining Power of Faith in Times of Uncertainty and Testing,Richard G. Scott,1838
2003,4,Sunday Morning Session,War and Peace,Gordon B. Hinckley,2378
2003,10,General Relief Society Meeting,Choose Ye Therefore Christ the Lord,Anne C. Pingree,1273
2003,10,General Relief Society Meeting,Choosing Charity:That Good Part,Bonnie D. Parkin,1639
2003,10,General Relief Society Meeting,In Covenant with Him,Kathleen H. Hughes,1373
2003,10,General Relief Society Meeting,To the Women of the Church,Gordon B. Hinckley,2216
2003,10,Priesthood Session,Bring Him Home,Thomas S. Monson,2415
2003,10,Priesthood Session,Personal Priesthood Responsibility,Russell M. Nelson,1741
2003,10,Priesthood Session,"Priesthood, Keys, and the Power to Bless",Merrill J. Bateman,1592
2003,10,Priesthood Session,The Phenomenon That Is You,James E. Faust,2222
2003,10,Priesthood Session,The Shepherds of Israel,Gordon B. Hinckley,2133
2003,10,Priesthood Session,Young Men—Holders of Keys,Monte J. Brough,1367
2003,10,Saturday Afternoon Session,“The Standard of Truth Has Been Erected”,Boyd K. Packer,2128
2003,10,Saturday Afternoon Session,Realize Your Full Potential,Richard G. Scott,1763
2003,10,Saturday Afternoon Session,Receiving a Testimony of the Restored Gospel of Jesus Christ,Robert D. Hales,2382
2003,10,Saturday Afternoon Session,Repentance and Change,Dallin H. Oaks,2493
2003,10,Saturday Afternoon Session,The Clarion Call of Prophets,Shirley D. Christensen,1488
2003,10,Saturday Afternoon Session,The Lord Thy God Will Hold Thy Hand,W. Craig Zwick,1776
2003,10,Saturday Afternoon Session,The Sustaining of Church Officers,James E. Faust,511
2003,10,Saturday Morning Session,A Sure Foundation,Sheldon F. Child,1516
2003,10,Saturday Morning Session,Let Our Voices Be Heard,M. Russell Ballard,2136
2003,10,Saturday Morning Session,"Lord, I Believe; Help Thou Mine Unbelief",James E. Faust,2246
2003,10,Saturday Morning Session,Seeing the Promises Afar Off,Anne C. Pingree,1305
2003,10,Saturday Morning Session,"The Atonement, Repentance, and Dirty Linen",Lynn A. Mickelsen,1825
2003,10,Saturday Morning Session,The State of the Church,Gordon B. Hinckley,1828
2003,10,Sunday Afternoon Session,"“Come, Follow Me”",William W. Parmley,1229
2003,10,Sunday Afternoon Session,An Enduring Testimony of the Mission of the Prophet Joseph,Henry B. Eyring,2591
2003,10,Sunday Afternoon Session,Are You a Saint?,Quentin L. Cook,1229
2003,10,Sunday Afternoon Session,How Choice a Seer!,Neal A. Maxwell,1910
2003,10,Sunday Afternoon Session,Let Us Live the Gospel More Fully,Gordon B. Hinckley,768
2003,10,Sunday Afternoon Session,The Empowerment of Humility,Richard C. Edgley,1587
2003,10,Sunday Afternoon Session,We Believe All That God Has Revealed,L. Tom Perry,2122
2003,10,Sunday Morning Session,"An Ensign to the Nations, a Light to the World",Gordon B. Hinckley,2279
2003,10,Sunday Morning Session,He Knows Us; He Loves Us,Sydney S. Reynolds,1522
2003,10,Sunday Morning Session,The Bridge Builder,Thomas S. Monson,2132
2003,10,Sunday Morning Session,The Grandeur of God,Jeffrey R. Holland,1808
2003,10,Sunday Morning Session,The Message of the Restoration,Charles A. Didier,1446
2003,10,Sunday Morning Session,Three Choices,Joseph B. Wirthlin,2335
2004,4,General Young Women Meeting,All Things Shall Work Together for Your Good,Susan W. Tanner,1990
2004,4,General Young Women Meeting,Believe!,Elaine S. Dalton,1653
2004,4,General Young Women Meeting,My Soul Delighteth in the Scriptures,Julie B. Beck,1621
2004,4,General Young Women Meeting,Stay on the High Road,Gordon B. Hinckley,2334
2004,4,Priesthood Session,"“I Was an Hungred, and Ye Gave Me Meat”",Gordon B. Hinckley,2047
2004,4,Priesthood Session,Choices,James E. Faust,1949
2004,4,Priesthood Session,For the Strength of Youth,Earl C. Tingey,1504
2004,4,Priesthood Session,Remember How Merciful the Lord Hath Been,Neal A. Maxwell,1554
2004,4,Priesthood Session,Strengthen Thy Brethren,Mervyn B. Arnold,1627
2004,4,Priesthood Session,The Call for Courage,Thomas S. Monson,2353
2004,4,Saturday Afternoon Session,“Abide in Me”,Jeffrey R. Holland,1894
2004,4,Saturday Afternoon Session,Applying the Simple and Plain Gospel Principles in the Family,Francisco J. Viñas,1455
2004,4,Saturday Afternoon Session,"Church Auditing Department Report, 2003",Wesley L. Jones,361
2004,4,Saturday Afternoon Session,"Earthly Debts, Heavenly Debts",Joseph B. Wirthlin,2289
2004,4,Saturday Afternoon Session,"Jesus, the Very Thought of Thee",Keith B. McMullin,1495
2004,4,Saturday Afternoon Session,Roots and Branches,Russell M. Nelson,1761
2004,4,Saturday Afternoon Session,"Statistical Report, 2003",F. Michael Watson,108
2004,4,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,716
2004,4,Saturday Afternoon Session,The Words of Christ—Our Spiritual Liahona,W. Rolfe Kerr,1320
2004,4,Saturday Morning Session,How Great the Wisdom and the Love,David B. Haight,383
2004,4,Saturday Morning Session,In the Strength of the Lord,Henry B. Eyring,2414
2004,4,Saturday Morning Session,Preparation for the Second Coming,Dallin H. Oaks,2478
2004,4,Saturday Morning Session,The Church Grows Stronger,Gordon B. Hinckley,700
2004,4,Saturday Morning Session,The Finished Story,Gayle M. Clegg,1621
2004,4,Saturday Morning Session,When Thou Art Converted,D. Todd Christofferson,1749
2004,4,Saturday Morning Session,Your Personal Influence,Thomas S. Monson,2346
2004,4,Sunday Afternoon Session,Concluding Remarks,Gordon B. Hinckley,570
2004,4,Sunday Afternoon Session,How to Live Well amid Increasing Evil,Richard G. Scott,1965
2004,4,Sunday Afternoon Session,Marriage and Family:Our Sacred Responsibility,W. Douglas Shumway,1377
2004,4,Sunday Afternoon Session,Standing Spotless before the Lord,Clate W. Mask Jr.,1611
2004,4,Sunday Afternoon Session,The Atonement and the Value of One Soul,M. Russell Ballard,2241
2004,4,Sunday Afternoon Session,The Atonement:All for All,Bruce C. Hafen,1833
2004,4,Sunday Afternoon Session,With All the Feeling of a Tender Parent:A Message of Hope to Families,Robert D. Hales,2506
2004,4,Sunday Morning Session,A “Mother Heart”,Julie B. Beck,1251
2004,4,Sunday Morning Session,But If Not …,Dennis E. Simmons,1319
2004,4,Sunday Morning Session,Did You Get the Right Message?,James E. Faust,2080
2004,4,Sunday Morning Session,Do Not Fear,Boyd K. Packer,2256
2004,4,Sunday Morning Session,"Fatherhood, an Eternal Calling",L. Tom Perry,2184
2004,4,Sunday Morning Session,The Dawning of a Brighter Day,Gordon B. Hinckley,2228
2004,10,General Relief Society Meeting,Belonging Is Our Sacred Birthright,Bonnie D. Parkin,1561
2004,10,General Relief Society Meeting,If Ye Are Prepared Ye Shall Not Fear,Thomas S. Monson,2321
2004,10,General Relief Society Meeting,Out of Small Things,Kathleen H. Hughes,1491
2004,10,General Relief Society Meeting,Walking towards the Light of His Love,Anne C. Pingree,1178
2004,10,Priesthood Session,A Tragic Evil among Us,Gordon B. Hinckley,2350
2004,10,Priesthood Session,Anxiously Engaged,Thomas S. Monson,2323
2004,10,Priesthood Session,Be Not Deceived,Dallin H. Oaks,2366
2004,10,Priesthood Session,Perilous Times,Cecil O. Samuelson Jr.,1474
2004,10,Priesthood Session,The Blessings of a Proper Fast,Carl B. Pratt,1432
2004,10,Priesthood Session,The Key of the Knowledge of God,James E. Faust,2206
2004,10,Saturday Afternoon Session,“Feed My Sheep”,Ned B. Roueché,1265
2004,10,Saturday Afternoon Session,"“I Stand at the Door, and Knock”",Ronald T. Halverson,1493
2004,10,Saturday Afternoon Session,Faith and Keys,Henry B. Eyring,2340
2004,10,Saturday Afternoon Session,How Has Relief Society Blessed Your Life?,Bonnie D. Parkin,1297
2004,10,Saturday Afternoon Session,Pure Testimony,M. Russell Ballard,2259
2004,10,Saturday Afternoon Session,Securing Our Testimonies,Donald L. Staheli,1682
2004,10,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,521
2004,10,Saturday Afternoon Session,What Is a Quorum?,L. Tom Perry,2151
2004,10,Saturday Morning Session,Bringing Peace and Healing to Your Soul,Dale E. Miller,1855
2004,10,Saturday Morning Session,Condition of the Church,Gordon B. Hinckley,1060
2004,10,Saturday Morning Session,Peace of Conscience and Peace of Mind,Richard G. Scott,1996
2004,10,Saturday Morning Session,"Prophets, Seers, and Revelators",Jeffrey R. Holland,2019
2004,10,Saturday Morning Session,The Power of God’s Love,John H. Groberg,1838
2004,10,Saturday Morning Session,Where Do I Make My Stand?,James E. Faust,2183
2004,10,Sunday Afternoon Session,Closing Remarks,Gordon B. Hinckley,885
2004,10,Sunday Afternoon Session,Keeping Our Covenants,Richard J. Maynes,1981
2004,10,Sunday Afternoon Session,More Holiness Give Me,H. David Burton,1949
2004,10,Sunday Afternoon Session,Press On,Joseph B. Wirthlin,2230
2004,10,Sunday Afternoon Session,Remember the Teachings of Your Father,H. Bryan Richards,1788
2004,10,Sunday Afternoon Session,The Least of These,Boyd K. Packer,2048
2004,10,Sunday Afternoon Session,We Did This for You,Elaine S. Dalton,1824
2004,10,Sunday Morning Session,Choose You This Day,Thomas S. Monson,2074
2004,10,Sunday Morning Session,Finding Faith in the Lord Jesus Christ,Robert D. Hales,2397
2004,10,Sunday Morning Session,In the Strength of the Lord,David A. Bednar,1464
2004,10,Sunday Morning Session,Senior Missionaries and the Gospel,Russell M. Nelson,1801
2004,10,Sunday Morning Session,The Opportunity to Testify,Dieter F. Uchtdorf,1438
2004,10,Sunday Morning Session,The Women in Our Lives,Gordon B. Hinckley,2229
2005,4,General Young Women Meeting,A Work for Me to Do,Julie B. Beck,1483
2005,4,General Young Women Meeting,Be Thou an Example,Thomas S. Monson,2327
2005,4,General Young Women Meeting,Glad Tidings from Cumorah,Susan W. Tanner,1901
2005,4,General Young Women Meeting,He Knows You by Name,Elaine S. Dalton,1534
2005,4,Priesthood Session,Beware of the Evil behind the Smiling Eyes,Neil L. Andersen,1267
2005,4,Priesthood Session,Gambling,Gordon B. Hinckley,2449
2005,4,Priesthood Session,Our Most Distinguishing Feature,Jeffrey R. Holland,1810
2005,4,Priesthood Session,Perseverance,James E. Faust,1830
2005,4,Priesthood Session,The Sacred Call of Service,Thomas S. Monson,2309
2005,4,Priesthood Session,Who’s on the Lord’s Side? Who?,Robert C. Oaks,1660
2005,4,Saturday Afternoon Session,"Church Auditing Department Report, 2004",Robert W. Cantwell,203
2005,4,Saturday Afternoon Session,Couple Missionaries:Blessings from Sacrifice and Service,Robert D. Hales,2300
2005,4,Saturday Afternoon Session,"Statistical Report, 2004",F. Michael Watson,284
2005,4,Saturday Afternoon Session,The Fruits of the First Vision,Dieter F. Uchtdorf,1865
2005,4,Saturday Afternoon Session,The Power of Preach My Gospel,Richard G. Scott,1815
2005,4,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,742
2005,4,Saturday Afternoon Session,The Virtue of Kindness,Joseph B. Wirthlin,1948
2005,4,Saturday Afternoon Session,The Worth of Souls,Harold G. Hillam,1205
2005,4,Saturday Afternoon Session,Tithing—a Commandment Even for the Destitute,Lynn G. Robbins,1532
2005,4,Saturday Morning Session,"A Still, Small Voice and a Throbbing Heart",Richard C. Edgley,1810
2005,4,Saturday Morning Session,All Thy Children Shall Be Taught,Coleen K. Menlove,1810
2005,4,Saturday Morning Session,Constant Truths for Changing Times,Thomas S. Monson,2394
2005,4,Saturday Morning Session,Now Is the Time to Prepare,Russell M. Nelson,1755
2005,4,Saturday Morning Session,Opening Remarks,Gordon B. Hinckley,1151
2005,4,Saturday Morning Session,The Book of Mormon:Another Testament of Jesus Christ—Plain and Precious Things,Boyd K. Packer,2582
2005,4,Sunday Afternoon Session,Appreciating the Counsel of Those Who Are Bowed in Years,Stephen B. Oveson,1643
2005,4,Sunday Afternoon Session,Be of Good Cheer and Faithful in Adversity,Adhemar Damiani,1328
2005,4,Sunday Afternoon Session,Closing Remarks,Gordon B. Hinckley,749
2005,4,Sunday Afternoon Session,Pornography,Dallin H. Oaks,2385
2005,4,Sunday Afternoon Session,Strengthen Thy Brethren,Robert J. Whetten,1865
2005,4,Sunday Afternoon Session,The Tender Mercies of the Lord,David A. Bednar,2272
2005,4,Sunday Afternoon Session,What Seek Ye?,L. Tom Perry,2222
2005,4,Sunday Morning Session,Faith Is the Answer,David E. Sorensen,1555
2005,4,Sunday Morning Session,Hearts Bound Together,Henry B. Eyring,2415
2005,4,Sunday Morning Session,One More,M. Russell Ballard,2042
2005,4,Sunday Morning Session,Standing in Holy Places,James E. Faust,1844
2005,4,Sunday Morning Session,The Great Things Which God Has Revealed,Gordon B. Hinckley,2226
2005,4,Sunday Morning Session,What Greater Goodness Can We Know:Christlike Friends,Kathleen H. Hughes,1694
2005,10,General Relief Society Meeting,Instruments in the Hands of God,James E. Faust,2549
2005,10,General Relief Society Meeting,Knowing the Lord’s Will for You,Anne C. Pingree,1335
2005,10,General Relief Society Meeting,Sweet Moments,Bonnie D. Parkin,1788
2005,10,General Relief Society Meeting,That We May All Sit Down in Heaven Together,Kathleen H. Hughes,1332
2005,10,Priesthood Session,Becoming a Missionary,David A. Bednar,2272
2005,10,Priesthood Session,Called and Chosen,James E. Faust,2133
2005,10,Priesthood Session,Do Your Duty—That Is Best,Thomas S. Monson,2395
2005,10,Priesthood Session,If Ye Are Prepared Ye Shall Not Fear,Gordon B. Hinckley,2044
2005,10,Priesthood Session,Man’s Search for Divine Truth,Charles A. Didier,1429
2005,10,Priesthood Session,The Blessings of General Conference,Paul V. Johnson,1422
2005,10,Saturday Afternoon Session,“If Christ Had My Opportunities …”,Paul K. Sybrowsky,1302
2005,10,Saturday Afternoon Session,Priesthood Authority in the Family and the Church,Dallin H. Oaks,2292
2005,10,Saturday Afternoon Session,Spiritual Preparedness:Start Early and Be Steady,Henry B. Eyring,2368
2005,10,Saturday Afternoon Session,"The Book of Mormon, the Instrument to Gather Scattered Israel",C. Scott Grow,1308
2005,10,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,491
2005,10,Saturday Afternoon Session,To Young Women,Jeffrey R. Holland,1997
2005,10,Saturday Afternoon Session,True Happiness:A Conscious Decision,Benjamín De Hoyos,1000
2005,10,Saturday Afternoon Session,What Matters Most Is What Lasts Longest,M. Russell Ballard,2206
2005,10,Saturday Morning Session,Be Prepared … Be Ye Strong from Henceforth,Keith B. McMullin,1731
2005,10,Saturday Morning Session,Blessings Resulting from Reading the Book of Mormon,L. Tom Perry,2326
2005,10,Saturday Morning Session,Journey to Higher Ground,Joseph B. Wirthlin,2264
2005,10,Saturday Morning Session,Opening Remarks,Gordon B. Hinckley,930
2005,10,Saturday Morning Session,The Light in Their Eyes,James E. Faust,2020
2005,10,Saturday Morning Session,The Sanctity of the Body,Susan W. Tanner,1989
2005,10,Sunday Afternoon Session,“Feed My Sheep”,Ulisses Soares,1230
2005,10,Sunday Afternoon Session,Benediction,Gordon B. Hinckley,627
2005,10,Sunday Afternoon Session,Christlike Attributes—the Wind beneath Our Wings,Dieter F. Uchtdorf,2264
2005,10,Sunday Afternoon Session,Compass of the Lord,Lowell M. Snow,1182
2005,10,Sunday Afternoon Session,Gospel Covenants Bring Promised Blessings,Paul E. Koelliker,1303
2005,10,Sunday Afternoon Session,Jesus Christ—the Master Healer,Russell M. Nelson,1800
2005,10,Sunday Afternoon Session,Preparations for the Restoration and the Second Coming:“My Hand Shall Be over Thee”,Robert D. Hales,2385
2005,10,Sunday Afternoon Session,Sacrifice Is a Joy and a Blessing,Won Yong Ko,1080
2005,10,Sunday Morning Session,A Pattern for All,Merrill J. Bateman,1614
2005,10,Sunday Morning Session,Forgiveness,Gordon B. Hinckley,2195
2005,10,Sunday Morning Session,My Soul Delighteth in the Scriptures,Cheryl C. Lant,1224
2005,10,Sunday Morning Session,On Zion’s Hill,Boyd K. Packer,2093
2005,10,Sunday Morning Session,The Prophet Joseph Smith:Teacher by Example,Thomas S. Monson,2155
2005,10,Sunday Morning Session,Truth Restored,Richard G. Scott,2010
2006,4,General Young Women Meeting,“I Am the Light Which Ye Shall Hold Up”,Susan W. Tanner,1818
2006,4,General Young Women Meeting,It Shows in Your Face,Elaine S. Dalton,1642
2006,4,General Young Women Meeting,You Have a Noble Birthright,Julie B. Beck,1707
2006,4,General Young Women Meeting,Your Light—a Standard to All Nations,James E. Faust,2285
2006,4,Priesthood Session,A Royal Priesthood,James E. Faust,2077
2006,4,Priesthood Session,Our Rising Generation,Ronald A. Rasband,1464
2006,4,Priesthood Session,Our Sacred Priesthood Trust,Thomas S. Monson,2784
2006,4,Priesthood Session,"Repentance, a Blessing of Membership",Richard G. Hinckley,1154
2006,4,Priesthood Session,See the End from the Beginning,Dieter F. Uchtdorf,2290
2006,4,Priesthood Session,The Need for Greater Kindness,Gordon B. Hinckley,2257
2006,4,Saturday Afternoon Session,“I Will Remember Your Sins No More”,Boyd K. Packer,2295
2006,4,Saturday Afternoon Session,As Now We Take the Sacrament,L. Tom Perry,2234
2006,4,Saturday Afternoon Session,"Church Auditing Department Report, 2005",Robert W. Cantwell,212
2006,4,Saturday Afternoon Session,Nurturing Marriage,Russell M. Nelson,1584
2006,4,Saturday Afternoon Session,"Statistical Report, 2005",F. Michael Watson,140
2006,4,Saturday Afternoon Session,That We May Always Have His Spirit to Be with Us,David A. Bednar,2207
2006,4,Saturday Afternoon Session,The Gift of Agency,Wolfgang H. Paul,1093
2006,4,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,509
2006,4,Saturday Afternoon Session,Your Mission Will Change Everything,David F. Evans,1434
2006,4,Saturday Morning Session,An Outpouring of Blessings,Julie B. Beck,1586
2006,4,Saturday Morning Session,As a Child,Henry B. Eyring,2684
2006,4,Saturday Morning Session,Tender Hearts and Helping Hands,H. David Burton,1774
2006,4,Saturday Morning Session,To Act for Ourselves:The Gift and Blessings of Agency,Robert D. Hales,2418
2006,4,Saturday Morning Session,True to the Faith,Thomas S. Monson,2269
2006,4,Sunday Afternoon Session,Creating a Gospel-Sharing Home,M. Russell Ballard,2243
2006,4,Sunday Afternoon Session,Instruments of the Lord’s Peace,Robert S. Wood,1634
2006,4,Sunday Afternoon Session,Now Is the Time to Serve a Mission!,Richard G. Scott,2086
2006,4,Sunday Afternoon Session,"Prayer, Faith, and Family:Stepping-Stones to Eternal Happiness",H. Bruce Stucki,1762
2006,4,Sunday Afternoon Session,The Abundant Life,Joseph B. Wirthlin,2191
2006,4,Sunday Afternoon Session,Until Again We Meet,Gordon B. Hinckley,173
2006,4,Sunday Afternoon Session,Zion in the Midst of Babylon,David R. Stone,1996
2006,4,Sunday Morning Session,All Men Everywhere,Dallin H. Oaks,2472
2006,4,Sunday Morning Session,Broken Things to Mend,Jeffrey R. Holland,1991
2006,4,Sunday Morning Session,Seek Ye the Kingdom of God,Gordon B. Hinckley,2039
2006,4,Sunday Morning Session,The Great Plan of Happiness,Earl C. Tingey,1489
2006,4,Sunday Morning Session,The Restoration of All Things,James E. Faust,2045
2006,4,Sunday Morning Session,To Grow Up unto the Lord,Anne C. Pingree,1293
2006,10,General Relief Society Meeting,Eternally Encircled in His Love,Bonnie D. Parkin,1809
2006,10,General Relief Society Meeting,In the Arms of His Love,Gordon B. Hinckley,2296
2006,10,General Relief Society Meeting,Remembering the Lord’s Love,Kathleen H. Hughes,1423
2006,10,General Relief Society Meeting,"To Look, Reach, and Come unto Christ",Anne C. Pingree,1254
2006,10,Priesthood Session,A Priesthood Quorum,Henry B. Eyring,2241
2006,10,Priesthood Session,He Trusts Us!,Stanley G. Ellis,1430
2006,10,Priesthood Session,Let Us Be Men,D. Todd Christofferson,1762
2006,10,Priesthood Session,"Rise Up, O Men of God",Gordon B. Hinckley,1685
2006,10,Priesthood Session,Spiritual Nutrients,James E. Faust,2003
2006,10,Priesthood Session,The Great Plan of Happiness,Marcus B. Nash,1503
2006,10,Priesthood Session,True to Our Priesthood Trust,Thomas S. Monson,2468
2006,10,Saturday Afternoon Session,Holy Scriptures: The Power of God unto Our Salvation,Robert D. Hales,2170
2006,10,Saturday Afternoon Session,Look toward Eternity!,Elaine S. Dalton,1202
2006,10,Saturday Afternoon Session,Sunday Will Come,Joseph B. Wirthlin,2058
2006,10,Saturday Afternoon Session,"The Atonement Can Clean, Reclaim, and Sanctify Our Lives",Shayne M. Bowen,1119
2006,10,Saturday Afternoon Session,The Atonement Can Secure Your Peace and Happiness,Richard G. Scott,1695
2006,10,Saturday Afternoon Session,The Law of Tithing,Daniel L. Johnson,1309
2006,10,Saturday Afternoon Session,The Power of a Personal Testimony,Dieter F. Uchtdorf,2096
2006,10,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,409
2006,10,Saturday Morning Session,Discipleship,James E. Faust,2069
2006,10,Saturday Morning Session,"Faith, Service, Constancy",David S. Baxter,1101
2006,10,Saturday Morning Session,He Heals the Heavy Laden,Dallin H. Oaks,2266
2006,10,Saturday Morning Session,O Be Wise,M. Russell Ballard,2072
2006,10,Saturday Morning Session,The First Generation,Paul B. Pieper,1166
2006,10,Saturday Morning Session,The Power of Patience,Robert C. Oaks,1224
2006,10,Saturday Morning Session,The Temple Is about Families,Richard H. Winkel,1187
2006,10,Saturday Morning Session,We Bear Testimony to the World,Gordon B. Hinckley,485
2006,10,Sunday Afternoon Session,A Defense and a Refuge,Boyd K. Packer,2143
2006,10,Sunday Afternoon Session,And Nothing Shall Offend Them,David A. Bednar,2133
2006,10,Sunday Afternoon Session,Becoming Instruments in the Hands of God,Don R. Clarke,1471
2006,10,Sunday Afternoon Session,Closing Remarks,Gordon B. Hinckley,239
2006,10,Sunday Afternoon Session,Moving Closer to Him,Craig A. Cardon,1315
2006,10,Sunday Afternoon Session,Prophets in the Land Again,Jeffrey R. Holland,1846
2006,10,Sunday Afternoon Session,Receiving by the Spirit,A. Roger Merrill,1204
2006,10,Sunday Afternoon Session,That They Might Know Thee,Keith R. Edwards,1461
2006,10,Sunday Afternoon Session,"Wherefore, Settle This in Your Hearts",Larry W. Gibbons,1393
2006,10,Sunday Morning Session,“The Great and Wonderful Love”,Anthony D. Perkins,1255
2006,10,Sunday Morning Session,Behold Your Little Ones,Margaret S. Lifferth,1165
2006,10,Sunday Morning Session,How Firm a Foundation,Thomas S. Monson,1986
2006,10,Sunday Morning Session,The Faith to Move Mountains,Gordon B. Hinckley,2006
2006,10,Sunday Morning Session,The Gathering of Scattered Israel,Russell M. Nelson,1665
2006,10,Sunday Morning Session,The Plan of Salvation,L. Tom Perry,2120
2006,10,Sunday Morning Session,Three Towels and a 25-Cent Newspaper,Richard C. Edgley,1199
2007,4,General Young Women Meeting,Daughters of Heavenly Father,Susan W. Tanner,2191
2007,4,General Young Women Meeting,Let Virtue Garnish Thy Thoughts Unceasingly,Gordon B. Hinckley,1517
2007,4,General Young Women Meeting,"Remembering, Repenting, and Changing",Julie B. Beck,1808
2007,4,General Young Women Meeting,Stay on the Path,Elaine S. Dalton,1705
2007,4,Priesthood Session,“I Am Clean”,Gordon B. Hinckley,1827
2007,4,Priesthood Session,Lay Up in Store,Keith B. McMullin,1546
2007,4,Priesthood Session,Life’s Lessons Learned,Joseph B. Wirthlin,2092
2007,4,Priesthood Session,Message to My Grandsons,James E. Faust,1944
2007,4,Priesthood Session,The Priesthood—a Sacred Gift,Thomas S. Monson,2349
2007,4,Priesthood Session,To the Aaronic Priesthood:Preparing for the Decade of Decision,Robert D. Hales,2146
2007,4,Saturday Afternoon Session,A Tabernacle in the Wilderness,Gordon B. Hinckley,990
2007,4,Saturday Afternoon Session,Gratitude:A Path to Happiness,Bonnie D. Parkin,1194
2007,4,Saturday Afternoon Session,If These Old Walls Could Talk,H. David Burton,1396
2007,4,Saturday Afternoon Session,Prophets—Pioneer and Modern Day,Earl C. Tingey,1307
2007,4,Saturday Afternoon Session,Remember and Perish Not,Marlin K. Jensen,1259
2007,4,Saturday Afternoon Session,Salt Lake Tabernacle Rededication,James E. Faust,1017
2007,4,Saturday Afternoon Session,Tabernacle Memories,Thomas S. Monson,1253
2007,4,Saturday Afternoon Session,The Spirit of the Tabernacle,Boyd K. Packer,2143
2007,4,Saturday Morning Session,"Church Auditing Department Report, 2006",Robert W. Cantwell,212
2007,4,Saturday Morning Session,Commitment to the Lord,John B. Dickson,1154
2007,4,Saturday Morning Session,I Know That My Redeemer Lives!,Thomas S. Monson,1992
2007,4,Saturday Morning Session,"Statistical Report, 2006",F. Michael Watson,147
2007,4,Saturday Morning Session,The Nourishing Power of Hymns,Jay E. Jensen,1070
2007,4,Saturday Morning Session,The Sustaining of Church Officers,Thomas S. Monson,760
2007,4,Saturday Morning Session,The Tongue of Angels,Jeffrey R. Holland,1845
2007,4,Saturday Morning Session,Using the Supernal Gift of Prayer,Richard G. Scott,1936
2007,4,Saturday Morning Session,Ye Must Be Born Again,David A. Bednar,2107
2007,4,Sunday Afternoon Session,"“Mom, Are We Christians?”",Gary J. Coleman,1281
2007,4,Sunday Afternoon Session,Closing Remarks,Gordon B. Hinckley,235
2007,4,Sunday Afternoon Session,Point of Safe Return,Dieter F. Uchtdorf,2015
2007,4,Sunday Afternoon Session,Repentance and Conversion,Russell M. Nelson,1768
2007,4,Sunday Afternoon Session,The Message of the Restoration,L. Tom Perry,2135
2007,4,Sunday Afternoon Session,This Day,Henry B. Eyring,2214
2007,4,Sunday Afternoon Session,Who’s on the Lord’s Side?,Charles W. Dahlquist II,1742
2007,4,Sunday Afternoon Session,Will a Man Rob God?,Yoshihiko Kikuchi,1102
2007,4,Sunday Morning Session,A Lesson from the Book of Mormon,Vicki F. Matsumori,1230
2007,4,Sunday Morning Session,Divorce,Dallin H. Oaks,2152
2007,4,Sunday Morning Session,Do You Know?,Glenn L. Pace,1113
2007,4,Sunday Morning Session,"It’s True, Isn’t It? Then What Else Matters?",Neil L. Andersen,1145
2007,4,Sunday Morning Session,The Healing Power of Forgiveness,James E. Faust,1802
2007,4,Sunday Morning Session,The Miracle of the Holy Bible,M. Russell Ballard,1942
2007,4,Sunday Morning Session,The Things of Which I Know,Gordon B. Hinckley,1643
2007,10,General Relief Society Meeting,Feed My Sheep,Silvia H. Allred,1508
2007,10,General Relief Society Meeting,I Will Strengthen Thee; I Will Help Thee,Barbara Thompson,1502
2007,10,General Relief Society Meeting,Three Goals to Guide You,Thomas S. Monson,2587
2007,10,General Relief Society Meeting,What Latter-day Saint Women Do Best: Stand Strong and Immovable,Julie B. Beck,2296
2007,10,Priesthood Session,A Royal Priesthood,Thomas S. Monson,1820
2007,10,Priesthood Session,Blessed Are All the Pure in Heart,L. Whitney Clayton,1368
2007,10,Priesthood Session,Do It Now,Donald L. Hallstrom,1360
2007,10,Priesthood Session,God Helps the Faithful Priesthood Holder,Henry B. Eyring,2483
2007,10,Priesthood Session,Raising the Bar,L. Tom Perry,2008
2007,10,Priesthood Session,Slow to Anger,Gordon B. Hinckley,1389
2007,10,Priesthood Session,Today Is the Time,Walter F. González,1264
2007,10,Saturday Afternoon Session,A Broken Heart and a Contrite Spirit,Bruce D. Porter,963
2007,10,Saturday Afternoon Session,"Faith, Family, Facts, and Fruits",M. Russell Ballard,1957
2007,10,Saturday Afternoon Session,Out of Small Things,Michael John U. Teh,1054
2007,10,Saturday Afternoon Session,Preach My Gospel—the Unifying Tool between Members and Missionaries,Erich W. Kopischke,1242
2007,10,Saturday Afternoon Session,Quench Not the Spirit Which Quickens the Inner Man,Keith K. Hilbig,1197
